"","hero","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12"
"1","Abathur",3.45478440747559,8.74348770352788,-2.37949275341585,4.74773966724208,6.29315277018703,-0.795420116756605,1.12348589563099,-1.56981850006548,-0.891480307741297,0.972592114824194,-0.375293302812859,1.09269586442865
"2","Alarak",-0.0688258372290454,-0.592226887732084,2.0606153685371,0.718367987938968,-0.885472757549597,1.60669032488598,-2.55823504162001,-1.98009593357397,-2.9299792686247,0.112490008767811,0.266046870623271,-0.188697671227516
"3","Alexstrasza",4.3322719733453,1.5800482475185,0.159021591884335,-1.33877873904913,-0.341609743930647,0.472191714380004,0.00863192584523429,0.220534673041422,0.880585637613042,0.243801875110146,-0.107168693302067,-0.243586333378759
"4","Ana",6.28373121124289,1.7642427011451,-0.212992374052383,-0.98581943828967,-0.242750944288955,-1.51865321000723,-0.52622332497549,-0.213009329154653,1.82426836481901,-0.705633892308262,-1.60954866545415,-0.14960393416551
"5","Anduin",5.11070256127902,1.84035370873861,0.0530036755298653,-0.851184760854525,-0.720469722686365,-1.1126847857804,0.0908331237940855,1.60794301561745,0.198004656097973,0.855505500715012,0.633025027889593,0.12485113330817
"6","Anub'arak",2.13703487282514,-2.94906429127113,-0.48609363938189,0.167307018214013,0.361072992456956,-1.67726340046583,0.0595883600368026,-0.759984864744934,0.712758964925307,-1.77168618206687,-0.579609295237476,-0.40796625654605
"7","Artanis",-1.50522978526112,-3.00974190122076,0.722936538477801,-0.522724071714299,0.569858225096954,0.0791019205525261,0.993894256102916,-0.366580734451819,0.00279792355634384,0.7924530146314,-0.502748670443446,0.618738826561141
"8","Arthas",0.546943044098405,-2.72610756879569,0.259356922568518,0.416063477168277,-1.15482034886335,-1.52819557365169,1.64553472820733,1.61165323532998,-0.914007237793302,1.43953244929492,1.52489726771649,0.302355500147109
"9","Auriel",3.58119679602831,0.426252843186654,0.102709996840449,-1.04737064488861,-1.20292556415897,0.236301509443401,0.262102712314895,-1.30465348285021,0.830126472373478,1.2489523628473,-0.327157252036316,-0.0315360026652759
"10","Azmodan",-2.5801479920993,4.53301566892799,-1.868057063616,-0.0354740292766729,-0.584013332271038,-0.0835713150988376,-1.12674003469726,-0.190745782140398,0.110374513805617,-0.335758377032495,-0.495749872351814,-0.067346564041215
"11","Blaze",-0.216564881397093,-1.44307879726216,-2.08127133543753,1.05566857004331,-0.98784076310554,-0.585802608776756,0.0791506670942327,0.44049870384726,-0.0810787517156242,-0.830843146828623,-0.534410718314213,-0.156394377701264
"12","Brightwing",4.32948605465918,0.795687897381413,1.01352582837122,-0.932302461215452,-0.0465445769940772,1.50651149227902,-1.18515062511884,0.851861260901857,-2.30214675145894,0.25126251769671,-1.97913708615336,-1.05120228040578
"13","Cassia",-2.3242490506564,-0.500151050454073,2.37364229940017,0.449988873433664,-0.141421639849366,-0.431804523547354,0.499358032375051,0.0670222371542876,0.132431271863574,-0.276992913117877,0.196388378455046,-0.127386835026722
"14","Chen",-0.0123238030423761,-2.43198296057306,-0.344145382273113,1.03258297146238,0.489513847412476,0.279710692956559,0.3078272587083,-0.422560804967538,-0.442493089653909,1.40727218550197,0.195249726021942,0.438463468623392
